"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
8,134,1,10,40,RandomStructured|0.4
8,139,1,10,40,RandomStructured|0.4
8,168,1,10,40,RandomStructured|0.4
9,1,1,10,40,RandomStructured|0.4
9,77,3,10,40,RandomStructured|0.4
9,86,2,10,40,RandomStructured|0.4
9,133,2,10,40,RandomStructured|0.4
9,159,1,10,40,RandomStructured|0.4
10,40,2,10,40,RandomStructured|0.4
10,47,1,10,40,RandomStructured|0.4
10,50,3,10,40,RandomStructured|0.4
10,78,1,10,40,RandomStructured|0.4
10,104,3,10,40,RandomStructured|0.4
10,112,1,10,40,RandomStructured|0.4
10,154,2,10,40,RandomStructured|0.4
11,40,3,10,40,RandomStructured|0.4
11,43,2,10,40,RandomStructured|0.4
11,49,1,10,40,RandomStructured|0.4
11,90,1,10,40,RandomStructured|0.4
11,92,1,10,40,RandomStructured|0.4
11,151,3,10,40,RandomStructured|0.4
11,158,4,10,40,RandomStructured|0.4
11,167,1,10,40,RandomStructured|0.4
12,57,1,10,40,RandomStructured|0.4
12,64,1,10,40,RandomStructured|0.4
12,119,2,10,40,RandomStructured|0.4
12,124,4,10,40,RandomStructured|0.4
12,165,3,10,40,RandomStructured|0.4
13,10,1,10,40,RandomStructured|0.4
13,25,2,10,40,RandomStructured|0.4
13,43,3,10,40,RandomStructured|0.4
13,48,1,10,40,RandomStructured|0.4
13,92,1,10,40,RandomStructured|0.4
13,137,4,10,40,RandomStructured|0.4
13,182,1,10,40,RandomStructured|0.4
14,0,2,10,40,RandomStructured|0.4
14,6,4,10,40,RandomStructured|0.4
14,42,4,10,40,RandomStructured|0.4
14,153,2,10,40,RandomStructured|0.4
15,7,2,10,40,RandomStructured|0.4
15,60,2,10,40,RandomStructured|0.4
15,69,1,10,40,RandomStructured|0.4
15,85,1,10,40,RandomStructured|0.4
15,134,1,10,40,RandomStructured|0.4
15,165,3,10,40,RandomStructured|0.4
16,53,2,10,40,RandomStructured|0.4
16,87,1,10,40,RandomStructured|0.4
16,128,3,10,40,RandomStructured|0.4
16,174,2,10,40,RandomStructured|0.4
17,38,1,10,40,RandomStructured|0.4
17,62,4,10,40,RandomStructured|0.4
17,90,1,10,40,RandomStructured|0.4
17,146,3,10,40,RandomStructured|0.4
18,10,4,10,40,RandomStructured|0.4
18,96,4,10,40,RandomStructured|0.4
19,98,4,10,40,RandomStructured|0.4
20,84,4,10,40,RandomStructured|0.4
21,36,3,10,40,RandomStructured|0.4
21,71,4,10,40,RandomStructured|0.4
22,29,4,10,40,RandomStructured|0.4
23,116,1,10,40,RandomStructured|0.4
23,170,1,10,40,RandomStructured|0.4
24,63,1,10,40,RandomStructured|0.4
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,75,3,10,44,RandomStructured|0.2
0,158,1,10,44,RandomStructured|0.2
2,8,1,10,44,RandomStructured|0.2
2,88,1,10,44,RandomStructured|0.2
3,49,9,10,44,RandomStructured|0.2
4,104,3,10,44,RandomStructured|0.2
4,147,2,10,44,RandomStructured|0.2
5,37,1,10,44,RandomStructured|0.2
5,107,3,10,44,RandomStructured|0.2
5,173,3,10,44,RandomStructured|0.2
6,39,2,10,44,RandomStructured|0.2
6,128,4,10,44,RandomStructured|0.2
6,133,5,10,44,RandomStructured|0.2
7,11,5,10,44,RandomStructured|0.2
7,39,4,10,44,RandomStructured|0.2
7,154,5,10,44,RandomStructured|0.2
8,3,4,10,44,RandomStructured|0.2
8,14,1,10,44,RandomStructured|0.2
8,17,1,10,44,RandomStructured|0.2
8,43,4,10,44,RandomStructured|0.2
8,82,1,10,44,RandomStructured|0.2
8,171,1,10,44,RandomStructured|0.2
8,180,3,10,44,RandomStructured|0.2
9,94,4,10,44,RandomStructured|0.2
9,127,2,10,44,RandomStructured|0.2
9,143,5,10,44,RandomStructured|0.2
9,159,5,10,44,RandomStructured|0.2
9,161,2,10,44,RandomStructured|0.2
10,12,3,10,44,RandomStructured|0.2
10,45,4,10,44,RandomStructured|0.2
10,92,3,10,44,RandomStructured|0.2
10,107,1,10,44,RandomStructured|0.2
10,170,5,10,44,RandomStructured|0.2
11,12,1,10,44,RandomStructured|0.2
11,21,2,10,44,RandomStructured|0.2
11,26,3,10,44,RandomStructured|0.2
11,74,1,10,44,RandomStructured|0.2
11,102,1,10,44,RandomStructured|0.2
11,105,1,10,44,RandomStructured|0.2
12,5,4,10,44,RandomStructured|0.2
12,70,5,10,44,RandomStructured|0.2
12,89,4,10,44,RandomStructured|0.2
12,173,4,10,44,RandomStructured|0.2
12,184,1,10,44,RandomStructured|0.2
13,6,1,10,44,RandomStructured|0.2
13,38,4,10,44,RandomStructured|0.2
13,70,5,10,44,RandomStructured|0.2
13,92,2,10,44,RandomStructured|0.2
13,143,3,10,44,RandomStructured|0.2
13,167,3,10,44,RandomStructured|0.2
14,0,4,10,44,RandomStructured|0.2
14,104,5,10,44,RandomStructured|0.2
14,106,4,10,44,RandomStructured|0.2
14,128,4,10,44,RandomStructured|0.2
14,135,1,10,44,RandomStructured|0.2
15,60,4,10,44,RandomStructured|0.2
15,130,5,10,44,RandomStructured|0.2
15,132,1,10,44,RandomStructured|0.2
15,152,4,10,44,RandomStructured|0.2
15,169,3,10,44,RandomStructured|0.2
16,25,3,10,44,RandomStructured|0.2
16,26,4,10,44,RandomStructured|0.2
16,38,4,10,44,RandomStructured|0.2
16,107,1,10,44,RandomStructured|0.2
16,133,5,10,44,RandomStructured|0.2
17,38,1,10,44,RandomStructured|0.2
17,64,3,10,44,RandomStructured|0.2
17,72,1,10,44,RandomStructured|0.2
17,104,4,10,44,RandomStructured|0.2
17,151,4,10,44,RandomStructured|0.2
18,28,5,10,44,RandomStructured|0.2
18,33,1,10,44,RandomStructured|0.2
18,61,4,10,44,RandomStructured|0.2
18,65,4,10,44,RandomStructured|0.2
18,77,4,10,44,RandomStructured|0.2
19,61,4,10,44,RandomStructured|0.2
19,80,1,10,44,RandomStructured|0.2
19,86,2,10,44,RandomStructured|0.2
19,137,2,10,44,RandomStructured|0.2
19,184,5,10,44,RandomStructured|0.2
20,65,3,10,44,RandomStructured|0.2
20,94,2,10,44,RandomStructured|0.2
20,109,1,10,44,RandomStructured|0.2
20,172,4,10,44,RandomStructured|0.2
21,2,1,10,44,RandomStructured|0.2
21,87,3,10,44,RandomStructured|0.2
21,97,5,10,44,RandomStructured|0.2
22,115,6,10,44,RandomStructured|0.2
22,177,1,10,44,RandomStructured|0.2
23,57,2,10,44,RandomStructured|0.2
23,112,1,10,44,RandomStructured|0.2
23,128,1,10,44,RandomStructured|0.2
24,123,1,10,44,RandomStructured|0.2
24,132,1,10,44,RandomStructured|0.2
25,0,2,10,44,RandomStructured|0.2
25,122,1,10,44,RandomStructured|0.2
27,152,1,10,44,RandomStructured|0.2
27,171,1,10,44,RandomStructured|0.2
,,,,,
