"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
23,103,1,10,0,Waypoint_8
23,175,5,10,0,Waypoint_8
24,19,2,10,0,Waypoint_8
24,68,1,10,0,Waypoint_8
25,70,1,10,0,Waypoint_8
26,13,1,10,0,Waypoint_8
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_9
0,12,2,10,0,Waypoint_9
0,20,1,10,0,Waypoint_9
0,25,3,10,0,Waypoint_9
0,102,1,10,0,Waypoint_9
0,129,3,10,0,Waypoint_9
1,5,1,10,0,Waypoint_9
1,60,1,10,0,Waypoint_9
1,62,1,10,0,Waypoint_9
1,78,1,10,0,Waypoint_9
1,89,8,10,0,Waypoint_9
1,90,1,10,0,Waypoint_9
1,131,7,10,0,Waypoint_9
2,3,1,10,0,Waypoint_9
2,18,1,10,0,Waypoint_9
2,100,1,10,0,Waypoint_9
3,41,2,10,0,Waypoint_9
3,67,4,10,0,Waypoint_9
3,74,3,10,0,Waypoint_9
3,126,1,10,0,Waypoint_9
4,16,1,10,0,Waypoint_9
4,23,9,10,0,Waypoint_9
4,82,1,10,0,Waypoint_9
4,139,8,10,0,Waypoint_9
5,74,1,10,0,Waypoint_9
5,105,1,10,0,Waypoint_9
5,115,4,10,0,Waypoint_9
6,91,5,10,0,Waypoint_9
6,103,9,10,0,Waypoint_9
7,141,10,10,0,Waypoint_9
7,174,10,10,0,Waypoint_9
8,165,10,10,0,Waypoint_9
9,79,10,10,0,Waypoint_9
10,51,10,10,0,Waypoint_9
10,172,10,10,0,Waypoint_9
11,117,10,10,0,Waypoint_9
11,185,10,10,0,Waypoint_9
12,24,10,10,0,Waypoint_9
12,177,10,10,0,Waypoint_9
13,31,10,10,0,Waypoint_9
13,155,10,10,0,Waypoint_9
14,93,10,10,0,Waypoint_9
15,53,10,10,0,Waypoint_9
15,84,10,10,0,Waypoint_9
16,95,10,10,0,Waypoint_9
16,155,10,10,0,Waypoint_9
17,140,10,10,0,Waypoint_9
18,96,10,10,0,Waypoint_9
19,161,10,10,0,Waypoint_9
19,181,9,10,0,Waypoint_9
21,173,7,10,0,Waypoint_9
22,98,1,10,0,Waypoint_9
22,99,7,10,0,Waypoint_9
22,183,9,10,0,Waypoint_9
23,6,5,10,0,Waypoint_9
23,103,1,10,0,Waypoint_9
23,175,5,10,0,Waypoint_9
24,19,2,10,0,Waypoint_9
24,68,1,10,0,Waypoint_9
25,70,1,10,0,Waypoint_9
26,13,1,10,0,Waypoint_9
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_10
0,12,2,10,0,Waypoint_10
0,20,1,10,0,Waypoint_10
0,25,3,10,0,Waypoint_10
0,60,1,10,0,Waypoint_10
0,102,1,10,0,Waypoint_10
0,129,3,10,0,Waypoint_10
1,5,1,10,0,Waypoint_10
1,60,1,10,0,Waypoint_10
1,62,1,10,0,Waypoint_10
1,78,1,10,0,Waypoint_10
1,89,8,10,0,Waypoint_10
1,90,1,10,0,Waypoint_10
1,131,7,10,0,Waypoint_10
2,3,1,10,0,Waypoint_10
2,18,1,10,0,Waypoint_10
2,100,1,10,0,Waypoint_10
3,41,2,10,0,Waypoint_10
3,67,4,10,0,Waypoint_10
3,74,3,10,0,Waypoint_10
3,126,1,10,0,Waypoint_10
4,16,1,10,0,Waypoint_10
4,23,9,10,0,Waypoint_10
4,82,1,10,0,Waypoint_10
4,139,8,10,0,Waypoint_10
5,74,1,10,0,Waypoint_10
5,105,1,10,0,Waypoint_10
5,115,4,10,0,Waypoint_10
6,91,5,10,0,Waypoint_10
6,103,9,10,0,Waypoint_10
7,141,10,10,0,Waypoint_10
7,174,10,10,0,Waypoint_10
8,165,10,10,0,Waypoint_10
9,79,10,10,0,Waypoint_10
10,51,10,10,0,Waypoint_10
10,172,10,10,0,Waypoint_10
11,117,10,10,0,Waypoint_10
11,185,10,10,0,Waypoint_10
12,24,10,10,0,Waypoint_10
12,177,10,10,0,Waypoint_10
13,31,10,10,0,Waypoint_10
13,155,10,10,0,Waypoint_10
14,93,10,10,0,Waypoint_10
15,53,10,10,0,Waypoint_10
15,84,10,10,0,Waypoint_10
16,95,10,10,0,Waypoint_10
16,155,10,10,0,Waypoint_10
17,140,10,10,0,Waypoint_10
18,96,10,10,0,Waypoint_10
19,161,10,10,0,Waypoint_10
19,181,9,10,0,Waypoint_10
21,173,7,10,0,Waypoint_10
22,98,1,10,0,Waypoint_10
22,99,7,10,0,Waypoint_10
22,183,9,10,0,Waypoint_10
23,6,5,10,0,Waypoint_10
23,103,1,10,0,Waypoint_10
23,175,5,10,0,Waypoint_10
24,19,2,10,0,Waypoint_10
24,68,1,10,0,Waypoint_10
25,70,1,10,0,Waypoint_10
26,13,1,10,0,Waypoint_10
,,,,,
"",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,2,10,0,Waypoint_11
0,12,2,10,0,Waypoint_11
0,20,1,10,0,Waypoint_11
0,25,3,10,0,Waypoint_11
0,60,1,10,0,Waypoint_11
0,102,1,10,0,Waypoint_11
0,129,3,10,0,Waypoint_11
1,5,1,10,0,Waypoint_11
