"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
1,47,1,17,Recreation_Run
1,53,1,17,Recreation_Run
1,61,6,17,Recreation_Run
1,62,1,17,Recreation_Run
1,63,1,17,Recreation_Run
1,87,9,17,Recreation_Run
2,10,5,17,Recreation_Run
2,16,2,17,Recreation_Run
2,17,1,17,Recreation_Run
2,37,6,17,Recreation_Run
2,47,8,17,Recreation_Run
2,72,1,17,Recreation_Run
2,78,1,17,Recreation_Run
2,92,1,17,Recreation_Run
3,9,7,17,Recreation_Run
3,31,4,17,Recreation_Run
3,38,1,17,Recreation_Run
3,69,1,17,Recreation_Run
3,71,1,17,Recreation_Run
3,72,3,17,Recreation_Run
3,78,3,17,Recreation_Run
4,11,3,17,Recreation_Run
4,81,3,17,Recreation_Run
4,83,9,17,Recreation_Run
4,90,7,17,Recreation_Run
5,51,1,17,Recreation_Run
5,59,2,17,Recreation_Run
5,77,7,17,Recreation_Run
5,88,3,17,Recreation_Run
5,91,7,17,Recreation_Run
6,0,7,17,Recreation_Run
6,29,1,17,Recreation_Run
6,30,2,17,Recreation_Run
6,36,2,17,Recreation_Run
6,45,7,17,Recreation_Run
6,95,1,17,Recreation_Run
7,6,1,17,Recreation_Run
7,14,8,17,Recreation_Run
7,41,1,17,Recreation_Run
7,54,7,17,Recreation_Run
7,63,1,17,Recreation_Run
7,71,2,17,Recreation_Run
8,2,8,17,Recreation_Run
8,64,2,17,Recreation_Run
8,74,1,17,Recreation_Run
8,79,1,17,Recreation_Run
8,93,7,17,Recreation_Run
8,97,1,17,Recreation_Run
9,1,8,17,Recreation_Run
9,4,1,17,Recreation_Run
9,5,8,17,Recreation_Run
9,40,1,17,Recreation_Run
9,50,1,17,Recreation_Run
9,90,1,17,Recreation_Run
10,4,9,17,Recreation_Run
10,12,3,17,Recreation_Run
10,31,7,17,Recreation_Run
10,62,7,17,Recreation_Run
10,82,1,17,Recreation_Run
11,11,2,17,Recreation_Run
11,55,1,17,Recreation_Run
11,59,2,17,Recreation_Run
11,73,8,17,Recreation_Run
11,93,7,17,Recreation_Run
12,0,2,17,Recreation_Run
12,13,2,17,Recreation_Run
12,52,1,17,Recreation_Run
12,69,8,17,Recreation_Run
12,70,8,17,Recreation_Run
13,17,2,17,Recreation_Run
13,49,2,17,Recreation_Run
13,75,8,17,Recreation_Run
13,83,9,17,Recreation_Run
14,13,1,17,Recreation_Run
14,30,1,17,Recreation_Run
14,59,1,17,Recreation_Run
14,65,9,17,Recreation_Run
14,81,7,17,Recreation_Run
14,92,8,17,Recreation_Run
15,53,10,17,Recreation_Run
15,84,1,17,Recreation_Run
15,92,1,17,Recreation_Run
15,100,9,17,Recreation_Run
16,15,1,17,Recreation_Run
16,41,8,17,Recreation_Run
16,58,1,17,Recreation_Run
16,78,1,17,Recreation_Run
16,104,9,17,Recreation_Run
17,6,1,17,Recreation_Run
17,12,9,17,Recreation_Run
17,60,1,17,Recreation_Run
17,68,9,17,Recreation_Run
18,10,1,17,Recreation_Run
18,11,9,17,Recreation_Run
18,51,9,17,Recreation_Run
18,67,9,17,Recreation_Run
19,0,9,17,Recreation_Run
19,7,9,17,Recreation_Run
19,54,1,17,Recreation_Run
19,65,1,17,Recreation_Run
19,89,8,17,Recreation_Run
20,15,9,17,Recreation_Run
20,17,1,17,Recreation_Run
20,39,7,17,Recreation_Run
20,40,1,17,Recreation_Run
20,65,1,17,Recreation_Run
20,91,1,17,Recreation_Run
21,46,1,17,Recreation_Run
21,54,5,17,Recreation_Run
21,58,1,17,Recreation_Run
21,59,9,17,Recreation_Run
21,76,3,17,Recreation_Run
21,100,1,17,Recreation_Run
22,3,3,17,Recreation_Run
22,36,6,17,Recreation_Run
22,51,2,17,Recreation_Run
22,65,2,17,Recreation_Run
22,86,1,17,Recreation_Run
22,87,1,17,Recreation_Run
22,96,3,17,Recreation_Run
22,108,2,17,Recreation_Run
23,0,1,17,Recreation_Run
23,17,3,17,Recreation_Run
23,30,5,17,Recreation_Run
23,49,1,17,Recreation_Run
23,61,1,17,Recreation_Run
23,69,1,17,Recreation_Run
23,71,1,17,Recreation_Run
23,92,6,17,Recreation_Run
23,104,1,17,Recreation_Run
24,5,3,17,Recreation_Run
24,12,6,17,Recreation_Run
24,27,1,17,Recreation_Run
24,28,1,17,Recreation_Run
24,44,2,17,Recreation_Run
24,48,4,17,Recreation_Run
24,66,1,17,Recreation_Run
24,77,1,17,Recreation_Run
24,98,1,17,Recreation_Run
24,100,1,17,Recreation_Run
25,1,1,17,Recreation_Run
25,26,2,17,Recreation_Run
25,29,5,17,Recreation_Run
25,30,1,17,Recreation_Run
25,35,1,17,Recreation_Run
25,49,1,17,Recreation_Run
25,56,1,17,Recreation_Run
25,62,1,17,Recreation_Run
25,69,2,17,Recreation_Run
25,93,5,17,Recreation_Run
26,4,1,17,Recreation_Run
26,27,2,17,Recreation_Run
26,38,1,17,Recreation_Run
26,41,2,17,Recreation_Run
26,44,1,17,Recreation_Run
26,49,6,17,Recreation_Run
26,71,6,17,Recreation_Run
26,91,1,17,Recreation_Run
27,0,5,17,Recreation_Run
27,2,1,17,Recreation_Run
27,9,1,17,Recreation_Run
27,28,4,17,Recreation_Run
27,39,1,17,Recreation_Run
27,42,2,17,Recreation_Run
27,51,1,17,Recreation_Run
27,59,3,17,Recreation_Run
27,65,1,17,Recreation_Run
27,86,1,17,Recreation_Run
28,0,6,17,Recreation_Run
28,1,1,17,Recreation_Run
28,2,1,17,Recreation_Run
28,4,1,17,Recreation_Run
28,5,4,17,Recreation_Run
28,6,8,17,Recreation_Run
28,7,3,17,Recreation_Run
28,9,5,17,Recreation_Run
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 18).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,4,5,18,iterative_full_theseus_training|iterative_full_theseus
0,14,1,18,iterative_full_theseus_training|iterative_full_theseus
0,18,1,18,iterative_full_theseus_training|iterative_full_theseus
0,20,1,18,iterative_full_theseus_training|iterative_full_theseus
0,34,7,18,iterative_full_theseus_training|iterative_full_theseus
0,39,2,18,iterative_full_theseus_training|iterative_full_theseus
0,61,1,18,iterative_full_theseus_training|iterative_full_theseus
0,66,1,18,iterative_full_theseus_training|iterative_full_theseus
0,80,7,18,iterative_full_theseus_training|iterative_full_theseus
0,86,1,18,iterative_full_theseus_training|iterative_full_theseus
1,19,1,18,iterative_full_theseus_training|iterative_full_theseus
1,38,4,18,iterative_full_theseus_training|iterative_full_theseus
1,40,1,18,iterative_full_theseus_training|iterative_full_theseus
1,45,5,18,iterative_full_theseus_training|iterative_full_theseus
1,61,8,18,iterative_full_theseus_training|iterative_full_theseus
1,63,10,18,iterative_full_theseus_training|iterative_full_theseus
1,84,1,18,iterative_full_theseus_training|iterative_full_theseus
2,0,7,18,iterative_full_theseus_training|iterative_full_theseus
2,2,1,18,iterative_full_theseus_training|iterative_full_theseus
2,18,4,18,iterative_full_theseus_training|iterative_full_theseus
2,41,1,18,iterative_full_theseus_training|iterative_full_theseus
2,42,3,18,iterative_full_theseus_training|iterative_full_theseus
2,55,1,18,iterative_full_theseus_training|iterative_full_theseus
2,61,1,18,iterative_full_theseus_training|iterative_full_theseus
2,81,1,18,iterative_full_theseus_training|iterative_full_theseus
2,84,1,18,iterative_full_theseus_training|iterative_full_theseus
3,16,6,18,iterative_full_theseus_training|iterative_full_theseus
3,23,1,18,iterative_full_theseus_training|iterative_full_theseus
3,40,1,18,iterative_full_theseus_training|iterative_full_theseus
3,62,1,18,iterative_full_theseus_training|iterative_full_theseus
3,86,9,18,iterative_full_theseus_training|iterative_full_theseus
3,87,2,18,iterative_full_theseus_training|iterative_full_theseus
4,44,9,18,iterative_full_theseus_training|iterative_full_theseus
4,45,1,18,iterative_full_theseus_training|iterative_full_theseus
4,49,1,18,iterative_full_theseus_training|iterative_full_theseus
4,56,4,18,iterative_full_theseus_training|iterative_full_theseus
4,72,4,18,iterative_full_theseus_training|iterative_full_theseus
4,75,1,18,iterative_full_theseus_training|iterative_full_theseus
5,22,4,18,iterative_full_theseus_training|iterative_full_theseus
5,55,1,18,iterative_full_theseus_training|iterative_full_theseus
5,79,9,18,iterative_full_theseus_training|iterative_full_theseus
5,80,1,18,iterative_full_theseus_training|iterative_full_theseus
5,96,3,18,iterative_full_theseus_training|iterative_full_theseus
5,97,2,18,iterative_full_theseus_training|iterative_full_theseus
6,26,9,18,iterative_full_theseus_training|iterative_full_theseus
6,47,1,18,iterative_full_theseus_training|iterative_full_theseus
6,51,4,18,iterative_full_theseus_training|iterative_full_theseus
6,57,3,18,iterative_full_theseus_training|iterative_full_theseus
6,71,1,18,iterative_full_theseus_training|iterative_full_theseus
6,78,1,18,iterative_full_theseus_training|iterative_full_theseus
6,98,1,18,iterative_full_theseus_training|iterative_full_theseus
7,47,1,18,iterative_full_theseus_training|iterative_full_theseus
7,67,8,18,iterative_full_theseus_training|iterative_full_theseus
7,69,7,18,iterative_full_theseus_training|iterative_full_theseus
7,78,1,18,iterative_full_theseus_training|iterative_full_theseus
7,94,1,18,iterative_full_theseus_training|iterative_full_theseus
7,101,2,18,iterative_full_theseus_training|iterative_full_theseus
8,36,9,18,iterative_full_theseus_training|iterative_full_theseus
8,81,2,18,iterative_full_theseus_training|iterative_full_theseus
8,97,1,18,iterative_full_theseus_training|iterative_full_theseus
8,100,8,18,iterative_full_theseus_training|iterative_full_theseus
9,8,3,18,iterative_full_theseus_training|iterative_full_theseus
9,28,4,18,iterative_full_theseus_training|iterative_full_theseus
9,47,10,18,iterative_full_theseus_training|iterative_full_theseus
9,103,3,18,iterative_full_theseus_training|iterative_full_theseus
10,85,10,18,iterative_full_theseus_training|iterative_full_theseus
10,100,10,18,iterative_full_theseus_training|iterative_full_theseus
11,15,10,18,iterative_full_theseus_training|iterative_full_theseus
11,66,10,18,iterative_full_theseus_training|iterative_full_theseus
12,12,3,18,iterative_full_theseus_training|iterative_full_theseus
12,22,10,18,iterative_full_theseus_training|iterative_full_theseus
12,60,7,18,iterative_full_theseus_training|iterative_full_theseus
13,3,10,18,iterative_full_theseus_training|iterative_full_theseus
13,35,10,18,iterative_full_theseus_training|iterative_full_theseus
14,13,9,18,iterative_full_theseus_training|iterative_full_theseus
14,48,1,18,iterative_full_theseus_training|iterative_full_theseus
14,59,5,18,iterative_full_theseus_training|iterative_full_theseus
14,64,5,18,iterative_full_theseus_training|iterative_full_theseus
15,3,1,18,iterative_full_theseus_training|iterative_full_theseus
15,18,9,18,iterative_full_theseus_training|iterative_full_theseus
15,20,10,18,iterative_full_theseus_training|iterative_full_theseus
16,7,9,18,iterative_full_theseus_training|iterative_full_theseus
16,24,1,18,iterative_full_theseus_training|iterative_full_theseus
16,50,10,18,iterative_full_theseus_training|iterative_full_theseus
17,27,2,18,iterative_full_theseus_training|iterative_full_theseus
17,31,6,18,iterative_full_theseus_training|iterative_full_theseus
17,68,1,18,iterative_full_theseus_training|iterative_full_theseus
17,83,9,18,iterative_full_theseus_training|iterative_full_theseus
17,85,2,18,iterative_full_theseus_training|iterative_full_theseus
18,7,6,18,iterative_full_theseus_training|iterative_full_theseus
18,12,2,18,iterative_full_theseus_training|iterative_full_theseus
18,23,9,18,iterative_full_theseus_training|iterative_full_theseus
18,46,1,18,iterative_full_theseus_training|iterative_full_theseus
18,60,1,18,iterative_full_theseus_training|iterative_full_theseus
18,79,1,18,iterative_full_theseus_training|iterative_full_theseus
19,14,1,18,iterative_full_theseus_training|iterative_full_theseus
19,51,1,18,iterative_full_theseus_training|iterative_full_theseus
19,52,2,18,iterative_full_theseus_training|iterative_full_theseus
19,74,6,18,iterative_full_theseus_training|iterative_full_theseus
19,91,1,18,iterative_full_theseus_training|iterative_full_theseus
19,95,8,18,iterative_full_theseus_training|iterative_full_theseus
19,104,1,18,iterative_full_theseus_training|iterative_full_theseus
20,19,1,18,iterative_full_theseus_training|iterative_full_theseus
20,36,6,18,iterative_full_theseus_training|iterative_full_theseus
20,63,1,18,iterative_full_theseus_training|iterative_full_theseus
20,64,2,18,iterative_full_theseus_training|iterative_full_theseus
20,71,2,18,iterative_full_theseus_training|iterative_full_theseus
20,75,1,18,iterative_full_theseus_training|iterative_full_theseus
20,81,5,18,iterative_full_theseus_training|iterative_full_theseus
20,83,2,18,iterative_full_theseus_training|iterative_full_theseus
21,4,3,18,iterative_full_theseus_training|iterative_full_theseus
21,18,1,18,iterative_full_theseus_training|iterative_full_theseus
21,23,4,18,iterative_full_theseus_training|iterative_full_theseus
21,34,4,18,iterative_full_theseus_training|iterative_full_theseus
21,35,1,18,iterative_full_theseus_training|iterative_full_theseus
21,61,2,18,iterative_full_theseus_training|iterative_full_theseus
21,64,1,18,iterative_full_theseus_training|iterative_full_theseus
21,98,1,18,iterative_full_theseus_training|iterative_full_theseus
21,101,2,18,iterative_full_theseus_training|iterative_full_theseus
21,106,1,18,iterative_full_theseus_training|iterative_full_theseus
22,3,4,18,iterative_full_theseus_training|iterative_full_theseus
22,34,1,18,iterative_full_theseus_training|iterative_full_theseus
22,50,1,18,iterative_full_theseus_training|iterative_full_theseus
22,54,1,18,iterative_full_theseus_training|iterative_full_theseus
22,65,2,18,iterative_full_theseus_training|iterative_full_theseus
22,68,2,18,iterative_full_theseus_training|iterative_full_theseus
22,76,2,18,iterative_full_theseus_training|iterative_full_theseus
22,85,1,18,iterative_full_theseus_training|iterative_full_theseus
22,105,2,18,iterative_full_theseus_training|iterative_full_theseus
22,110,4,18,iterative_full_theseus_training|iterative_full_theseus
23,5,3,18,iterative_full_theseus_training|iterative_full_theseus
23,33,1,18,iterative_full_theseus_training|iterative_full_theseus
23,60,2,18,iterative_full_theseus_training|iterative_full_theseus
23,61,2,18,iterative_full_theseus_training|iterative_full_theseus
23,62,4,18,iterative_full_theseus_training|iterative_full_theseus
23,65,3,18,iterative_full_theseus_training|iterative_full_theseus
23,80,1,18,iterative_full_theseus_training|iterative_full_theseus
23,88,2,18,iterative_full_theseus_training|iterative_full_theseus
23,92,1,18,iterative_full_theseus_training|iterative_full_theseus
23,95,2,18,iterative_full_theseus_training|iterative_full_theseus
23,105,1,18,iterative_full_theseus_training|iterative_full_theseus
23,107,2,18,iterative_full_theseus_training|iterative_full_theseus
24,13,6,18,iterative_full_theseus_training|iterative_full_theseus
24,29,1,18,iterative_full_theseus_training|iterative_full_theseus
24,39,1,18,iterative_full_theseus_training|iterative_full_theseus
24,40,1,18,iterative_full_theseus_training|iterative_full_theseus
24,43,3,18,iterative_full_theseus_training|iterative_full_theseus
24,62,1,18,iterative_full_theseus_training|iterative_full_theseus
24,64,2,18,iterative_full_theseus_training|iterative_full_theseus
24,73,2,18,iterative_full_theseus_training|iterative_full_theseus
24,102,1,18,iterative_full_theseus_training|iterative_full_theseus
24,105,2,18,iterative_full_theseus_training|iterative_full_theseus
25,14,4,18,iterative_full_theseus_training|iterative_full_theseus
25,17,2,18,iterative_full_theseus_training|iterative_full_theseus
25,26,1,18,iterative_full_theseus_training|iterative_full_theseus
25,32,1,18,iterative_full_theseus_training|iterative_full_theseus
25,51,1,18,iterative_full_theseus_training|iterative_full_theseus
25,59,7,18,iterative_full_theseus_training|iterative_full_theseus
25,66,1,18,iterative_full_theseus_training|iterative_full_theseus
25,106,2,18,iterative_full_theseus_training|iterative_full_theseus
25,109,1,18,iterative_full_theseus_training|iterative_full_theseus
26,25,1,18,iterative_full_theseus_training|iterative_full_theseus
26,31,1,18,iterative_full_theseus_training|iterative_full_theseus
26,34,1,18,iterative_full_theseus_training|iterative_full_theseus
26,69,1,18,iterative_full_theseus_training|iterative_full_theseus
26,71,1,18,iterative_full_theseus_training|iterative_full_theseus
26,76,4,18,iterative_full_theseus_training|iterative_full_theseus
26,79,1,18,iterative_full_theseus_training|iterative_full_theseus
26,83,3,18,iterative_full_theseus_training|iterative_full_theseus
26,85,4,18,iterative_full_theseus_training|iterative_full_theseus
26,90,1,18,iterative_full_theseus_training|iterative_full_theseus
26,105,1,18,iterative_full_theseus_training|iterative_full_theseus
26,107,1,18,iterative_full_theseus_training|iterative_full_theseus
27,5,1,18,iterative_full_theseus_training|iterative_full_theseus
27,8,1,18,iterative_full_theseus_training|iterative_full_theseus
27,10,1,18,iterative_full_theseus_training|iterative_full_theseus
27,24,5,18,iterative_full_theseus_training|iterative_full_theseus
27,50,3,18,iterative_full_theseus_training|iterative_full_theseus
27,60,1,18,iterative_full_theseus_training|iterative_full_theseus
27,65,2,18,iterative_full_theseus_training|iterative_full_theseus
27,96,3,18,iterative_full_theseus_training|iterative_full_theseus
27,103,3,18,iterative_full_theseus_training|iterative_full_theseus
27,105,2,18,iterative_full_theseus_training|iterative_full_theseus
28,0,7,18,iterative_full_theseus_training|iterative_full_theseus
28,1,1,18,iterative_full_theseus_training|iterative_full_theseus
28,2,1,18,iterative_full_theseus_training|iterative_full_theseus
28,4,1,18,iterative_full_theseus_training|iterative_full_theseus
28,5,3,18,iterative_full_theseus_training|iterative_full_theseus
28,6,2,18,iterative_full_theseus_training|iterative_full_theseus
28,7,4,18,iterative_full_theseus_training|iterative_full_theseus
28,9,5,18,iterative_full_theseus_training|iterative_full_theseus
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 19).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,1,1,19,ADMM_Joint
0,29,1,19,ADMM_Joint
0,48,2,19,ADMM_Joint
0,70,1,19,ADMM_Joint
0,73,1,19,ADMM_Joint
0,74,9,19,ADMM_Joint
0,98,1,19,ADMM_Joint
0,147,3,19,ADMM_Joint
0,171,4,19,ADMM_Joint
1,0,1,19,ADMM_Joint
1,12,1,19,ADMM_Joint
1,16,4,19,ADMM_Joint
1,38,1,19,ADMM_Joint
1,39,1,19,ADMM_Joint
1,41,2,19,ADMM_Joint
1,48,1,19,ADMM_Joint
1,56,1,19,ADMM_Joint
1,61,2,19,ADMM_Joint
1,69,1,19,ADMM_Joint
1,70,4,19,ADMM_Joint
1,90,2,19,ADMM_Joint
1,95,2,19,ADMM_Joint
1,150,3,19,ADMM_Joint
1,158,1,19,ADMM_Joint
2,1,1,19,ADMM_Joint
2,5,1,19,ADMM_Joint
2,37,1,19,ADMM_Joint
2,69,2,19,ADMM_Joint
2,74,1,19,ADMM_Joint
2,75,1,19,ADMM_Joint
2,94,6,19,ADMM_Joint
2,116,1,19,ADMM_Joint
2,140,4,19,ADMM_Joint
2,176,4,19,ADMM_Joint
3,0,2,19,ADMM_Joint
3,34,2,19,ADMM_Joint
3,62,4,19,ADMM_Joint
3,87,2,19,ADMM_Joint
3,99,2,19,ADMM_Joint
3,100,1,19,ADMM_Joint
3,119,1,19,ADMM_Joint
3,128,5,19,ADMM_Joint
3,137,2,19,ADMM_Joint
3,141,1,19,ADMM_Joint
4,62,2,19,ADMM_Joint
4,66,5,19,ADMM_Joint
4,109,2,19,ADMM_Joint
4,115,8,19,ADMM_Joint
4,147,3,19,ADMM_Joint
5,93,8,19,ADMM_Joint
5,97,8,19,ADMM_Joint
5,106,2,19,ADMM_Joint
5,108,2,19,ADMM_Joint
6,40,9,19,ADMM_Joint
6,68,1,19,ADMM_Joint
6,104,8,19,ADMM_Joint
6,113,2,19,ADMM_Joint
7,41,8,19,ADMM_Joint
7,62,2,19,ADMM_Joint
7,81,10,19,ADMM_Joint
8,86,10,19,ADMM_Joint
8,132,10,19,ADMM_Joint
9,9,10,19,ADMM_Joint
9,35,10,19,ADMM_Joint
10,32,10,19,ADMM_Joint
10,105,10,19,ADMM_Joint
11,45,10,19,ADMM_Joint
11,168,10,19,ADMM_Joint
12,59,10,19,ADMM_Joint
12,120,10,19,ADMM_Joint
13,23,10,19,ADMM_Joint
13,58,10,19,ADMM_Joint
14,112,10,19,ADMM_Joint
14,182,10,19,ADMM_Joint
15,4,10,19,ADMM_Joint
15,43,10,19,ADMM_Joint
16,131,10,19,ADMM_Joint
16,138,10,19,ADMM_Joint
17,14,10,19,ADMM_Joint
17,166,10,19,ADMM_Joint
18,40,10,19,ADMM_Joint
18,93,10,19,ADMM_Joint
19,108,10,19,ADMM_Joint
19,178,10,19,ADMM_Joint
20,124,10,19,ADMM_Joint
20,151,10,19,ADMM_Joint
21,119,10,19,ADMM_Joint
21,189,10,19,ADMM_Joint
22,105,10,19,ADMM_Joint
22,117,10,19,ADMM_Joint
23,64,1,19,ADMM_Joint
23,89,2,19,ADMM_Joint
23,90,7,19,ADMM_Joint
23,154,10,19,ADMM_Joint
24,16,3,19,ADMM_Joint
24,54,2,19,ADMM_Joint
24,127,8,19,ADMM_Joint
24,190,7,19,ADMM_Joint
25,16,1,19,ADMM_Joint
25,30,1,19,ADMM_Joint
25,47,1,19,ADMM_Joint
25,66,2,19,ADMM_Joint
25,70,4,19,ADMM_Joint
25,98,1,19,ADMM_Joint
25,100,1,19,ADMM_Joint
25,106,7,19,ADMM_Joint
25,184,2,19,ADMM_Joint
26,36,1,19,ADMM_Joint
26,45,1,19,ADMM_Joint
26,50,1,19,ADMM_Joint
26,81,2,19,ADMM_Joint
26,83,4,19,ADMM_Joint
26,88,1,19,ADMM_Joint
26,115,1,19,ADMM_Joint
26,135,3,19,ADMM_Joint
26,176,4,19,ADMM_Joint
26,181,6,19,ADMM_Joint
26,198,1,19,ADMM_Joint
27,48,1,19,ADMM_Joint
27,58,1,19,ADMM_Joint
27,74,1,19,ADMM_Joint
27,79,2,19,ADMM_Joint
27,84,3,19,ADMM_Joint
27,122,5,19,ADMM_Joint
27,163,1,19,ADMM_Joint
27,180,1,19,ADMM_Joint
27,184,1,19,ADMM_Joint
27,185,3,19,ADMM_Joint
27,200,5,19,ADMM_Joint
28,0,7,19,ADMM_Joint
28,1,2,19,ADMM_Joint
28,2,1,19,ADMM_Joint
28,4,2,19,ADMM_Joint
28,5,2,19,ADMM_Joint
28,6,2,19,ADMM_Joint
28,7,7,19,ADMM_Joint
28,8,2,19,ADMM_Joint
28,9,3,19,ADMM_Joint
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 20).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,12,4,20,ADMM_Joint
0,32,1,20,ADMM_Joint
0,43,3,20,ADMM_Joint
0,44,1,20,ADMM_Joint
0,47,5,20,ADMM_Joint
0,80,2,20,ADMM_Joint
0,114,1,20,ADMM_Joint
0,116,1,20,ADMM_Joint
0,132,1,20,ADMM_Joint
0,136,1,20,ADMM_Joint
0,161,6,20,ADMM_Joint
1,31,2,20,ADMM_Joint
1,32,1,20,ADMM_Joint
1,54,1,20,ADMM_Joint
1,68,5,20,ADMM_Joint
1,83,8,20,ADMM_Joint
1,101,6,20,ADMM_Joint
1,147,2,20,ADMM_Joint
1,170,1,20,ADMM_Joint
1,173,2,20,ADMM_Joint
2,19,2,20,ADMM_Joint
2,43,4,20,ADMM_Joint
2,59,1,20,ADMM_Joint
2,65,1,20,ADMM_Joint
2,108,4,20,ADMM_Joint
2,135,8,20,ADMM_Joint
3,11,5,20,ADMM_Joint
3,31,1,20,ADMM_Joint
3,33,3,20,ADMM_Joint
3,46,1,20,ADMM_Joint
3,52,2,20,ADMM_Joint
3,131,9,20,ADMM_Joint
4,60,10,20,ADMM_Joint
4,66,5,20,ADMM_Joint
4,134,5,20,ADMM_Joint
5,12,3,20,ADMM_Joint
5,142,7,20,ADMM_Joint
5,144,10,20,ADMM_Joint
6,4,10,20,ADMM_Joint
6,107,10,20,ADMM_Joint
7,64,9,20,ADMM_Joint
7,81,10,20,ADMM_Joint
7,132,1,20,ADMM_Joint
8,27,10,20,ADMM_Joint
8,129,10,20,ADMM_Joint
9,42,1,20,ADMM_Joint
9,129,10,20,ADMM_Joint
9,144,9,20,ADMM_Joint
10,101,10,20,ADMM_Joint
10,173,10,20,ADMM_Joint
11,39,10,20,ADMM_Joint
11,72,10,20,ADMM_Joint
12,89,10,20,ADMM_Joint
12,146,10,20,ADMM_Joint
13,145,10,20,ADMM_Joint
13,183,10,20,ADMM_Joint
14,24,10,20,ADMM_Joint
14,118,10,20,ADMM_Joint
15,73,10,20,ADMM_Joint
15,145,10,20,ADMM_Joint
16,43,9,20,ADMM_Joint
16,57,10,20,ADMM_Joint
16,103,1,20,ADMM_Joint
17,76,8,20,ADMM_Joint
17,77,1,20,ADMM_Joint
17,88,1,20,ADMM_Joint
17,145,9,20,ADMM_Joint
17,173,1,20,ADMM_Joint
18,10,8,20,ADMM_Joint
18,19,1,20,ADMM_Joint
18,22,1,20,ADMM_Joint
18,24,8,20,ADMM_Joint
18,27,2,20,ADMM_Joint
18,38,1,20,ADMM_Joint
19,127,10,20,ADMM_Joint
19,131,1,20,ADMM_Joint
19,132,9,20,ADMM_Joint
20,78,1,20,ADMM_Joint
20,110,8,20,ADMM_Joint
20,141,1,20,ADMM_Joint
20,151,1,20,ADMM_Joint
20,164,7,20,ADMM_Joint
20,182,2,20,ADMM_Joint
21,41,1,20,ADMM_Joint
21,75,8,20,ADMM_Joint
21,104,8,20,ADMM_Joint
21,133,10,20,ADMM_Joint
21,138,1,20,ADMM_Joint
21,181,1,20,ADMM_Joint
22,17,1,20,ADMM_Joint
22,68,1,20,ADMM_Joint
22,98,8,20,ADMM_Joint
22,111,1,20,ADMM_Joint
22,132,8,20,ADMM_Joint
22,176,1,20,ADMM_Joint
23,15,1,20,ADMM_Joint
23,28,1,20,ADMM_Joint
23,34,1,20,ADMM_Joint
23,36,3,20,ADMM_Joint
23,111,7,20,ADMM_Joint
23,117,1,20,ADMM_Joint
23,189,8,20,ADMM_Joint
24,0,3,20,ADMM_Joint
24,22,2,20,ADMM_Joint
24,54,1,20,ADMM_Joint
24,57,3,20,ADMM_Joint
24,60,2,20,ADMM_Joint
24,92,2,20,ADMM_Joint
24,125,1,20,ADMM_Joint
24,130,1,20,ADMM_Joint
24,137,4,20,ADMM_Joint
24,191,1,20,ADMM_Joint
25,25,1,20,ADMM_Joint
25,35,1,20,ADMM_Joint
25,58,2,20,ADMM_Joint
25,63,1,20,ADMM_Joint
25,78,2,20,ADMM_Joint
25,102,2,20,ADMM_Joint
25,132,6,20,ADMM_Joint
25,147,5,20,ADMM_Joint
26,3,2,20,ADMM_Joint
26,8,2,20,ADMM_Joint
26,9,1,20,ADMM_Joint
26,42,3,20,ADMM_Joint
26,46,4,20,ADMM_Joint
26,103,1,20,ADMM_Joint
26,109,1,20,ADMM_Joint
26,132,2,20,ADMM_Joint
26,174,3,20,ADMM_Joint
26,190,3,20,ADMM_Joint
27,21,1,20,ADMM_Joint
27,46,3,20,ADMM_Joint
27,57,5,20,ADMM_Joint
27,65,1,20,ADMM_Joint
27,97,1,20,ADMM_Joint
27,103,2,20,ADMM_Joint
27,160,4,20,ADMM_Joint
27,167,2,20,ADMM_Joint
27,176,1,20,ADMM_Joint
28,0,8,20,ADMM_Joint
28,1,1,20,ADMM_Joint
28,2,1,20,ADMM_Joint
28,4,1,20,ADMM_Joint
28,5,4,20,ADMM_Joint
28,6,2,20,ADMM_Joint
28,7,8,20,ADMM_Joint
28,9,3,20,ADMM_Joint
,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 21).ttl",,,,
Layer,node,Number of meanings for node,csv row,pruning type
0,14,1,21,ADMM_Joint
0,15,2,21,ADMM_Joint
0,82,1,21,ADMM_Joint
0,104,1,21,ADMM_Joint
0,112,4,21,ADMM_Joint
0,117,5,21,ADMM_Joint
0,122,6,21,ADMM_Joint
0,130,1,21,ADMM_Joint
0,148,4,21,ADMM_Joint
0,157,1,21,ADMM_Joint
1,0,2,21,ADMM_Joint
1,9,1,21,ADMM_Joint
1,11,2,21,ADMM_Joint
1,15,3,21,ADMM_Joint
1,34,2,21,ADMM_Joint
1,39,1,21,ADMM_Joint
1,48,1,21,ADMM_Joint
