,Version,Notes,LossFunction,Optimizer,LearningRate,NumberOfEpochs,ModelStructure,DatasetName,BatchSize,TrainTest,MaxSamples,Dataparallel,NumberOfWorkers,Device,AlphaForADMM,RhoForADMM,LayerPruneTargets,WeightPrunePercent,PruningSelection,BERTTheseusStartingLearningRate,BERTTheseusLearningRateModifier,AlphaForTOFD,BetaForTOFD,tForTOFD,LayerIteration,SaveLocation,FromSaveLocation,ProcessID,StartTime,cpuModel,TimeForPrune,Memory,LengthOfTrainingData,LengthOfValidationData,total_loss,f1_score,mean_loss,val_total_loss,val_f1_score,val_mean_loss,epoch,Epoch waypoint 0 mean_loss,-Waypoint_0-,Epoch waypoint 1 mean_loss,-Waypoint_1-,Epoch waypoint 2 mean_loss,-Waypoint_2-,Epoch waypoint 3 mean_loss,-Waypoint_3-,Epoch waypoint 4 mean_loss,-Waypoint_4-,TimeForRun,macs,parameters,NumberOfZeros,ModelWeightStructure,ModelWeightStructurePruneZero,GarbageCollectionSizeTotal,AssociatedOriginalRow
20,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89050,2024-08-29 22:46:52.336121,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89188,2024-08-29 22:48:29.585373,i386,7.724761962890625e-05,0.0,80.0,20.0,114669.7900390625,0.9367647058823528,1433.3723754882812,47337.042236328125,0.7363636363636363,2366.8521118164062,9.0,186.0702722787857,,67.2557557106018,,12.2112797960639,,940.9921585083008,,827.098503613472,,1.454671859741211,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
22,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89188,2024-08-29 22:48:31.600342,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89344,2024-08-29 22:50:25.002238,i386,7.581710815429688e-05,0.0,80.0,20.0,16145.971366882324,0.9365,201.82464208602903,3316.6083984375,0.8538461538461538,165.830419921875,9.0,136.17489981651306,,75.19437427707017,,635.8646763324738,,1953.9706619262693,,607.2349285125732,,1.604583978652954,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
24,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89344,2024-08-29 22:50:27.337618,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89882,2024-08-29 22:59:07.939475,i386,0.0001370906829833,0.0,80.0,20.0,295846.5469970703,0.925,3698.081837463379,45522.21063232422,0.7363636363636363,2276.110531616211,9.0,373.2105944256124,,107.80259802266956,,188.8573729515076,,746.5203046321869,,125.83503036499025,,4.958566188812256,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
26,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,89882,2024-08-29 22:59:13.834499,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,90254,2024-08-29 23:07:30.447811,i386,8.392333984375e-05,0.0,80.0,20.0,45803.07651519776,0.9097046592221794,572.5384564399719,29566.560913085938,0.7136363636363636,1478.3280456542968,9.0,212.7146629691124,,103.80740358901676,,224.86848220825195,,180.5894164085388,,431.8385551452637,,1.795712947845459,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
28,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,90254,2024-08-29 23:07:32.812544,i386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,v0.61 - 61,0,CrossEntropy,Adam,0.02,10,SwappingTest,RandomDummy,3,0.2,100,-2,0,cpu,0.0005,0.0015,"[3, 1, 3]","[0.9, 0.5, 1.0]",,0.5,0.5,0.05,0.03,3.0,"[3, 1, 3]",,,90470,2024-08-29 23:09:40.999333,i386,7.700920104980469e-05,0.0,80.0,20.0,114433.92712402344,0.95,1430.4240890502929,32896.82550048828,0.8681818181818182,1644.841275024414,9.0,207.3317666053772,,101.94054870605468,,47.433537817001344,,433.1580735206604,,1043.1897468566897,,1.7115099430084229,30602.0,30905.0,0.0,"100/101, 101/102, 102/100","100/101, 101/102, 102/100",3640.0,5.0
