"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
15,49,10,10,4,TOFD
17,33,10,10,4,TOFD
18,28,10,10,4,TOFD
18,103,10,10,4,TOFD
19,77,10,10,4,TOFD
19,91,3,10,4,TOFD
20,85,10,10,4,TOFD
21,10,9,10,4,TOFD
21,69,6,10,4,TOFD
22,23,4,10,4,TOFD
22,67,6,10,4,TOFD
23,5,4,10,4,TOFD
24,46,1,10,4,TOFD
24,59,1,10,4,TOFD
25,57,2,10,4,TOFD
26,99,1,10,4,TOFD
27,49,2,10,4,TOFD
27,90,1,10,4,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 6).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,5,10,6,TOFD
0,8,1,10,6,TOFD
0,17,1,10,6,TOFD
0,21,8,10,6,TOFD
0,48,5,10,6,TOFD
1,40,1,10,6,TOFD
1,53,9,10,6,TOFD
1,59,4,10,6,TOFD
1,71,1,10,6,TOFD
1,75,1,10,6,TOFD
1,81,2,10,6,TOFD
2,17,2,10,6,TOFD
2,28,8,10,6,TOFD
2,49,2,10,6,TOFD
3,10,1,10,6,TOFD
3,11,1,10,6,TOFD
3,12,2,10,6,TOFD
3,43,1,10,6,TOFD
3,60,8,10,6,TOFD
3,61,1,10,6,TOFD
3,71,6,10,6,TOFD
4,12,6,10,6,TOFD
4,17,3,10,6,TOFD
4,27,8,10,6,TOFD
4,78,2,10,6,TOFD
4,93,1,10,6,TOFD
5,19,2,10,6,TOFD
5,20,2,10,6,TOFD
5,47,3,10,6,TOFD
5,69,3,10,6,TOFD
5,77,2,10,6,TOFD
5,92,8,10,6,TOFD
6,11,8,10,6,TOFD
6,29,1,10,6,TOFD
6,66,9,10,6,TOFD
6,83,1,10,6,TOFD
7,5,1,10,6,TOFD
7,39,2,10,6,TOFD
7,58,8,10,6,TOFD
7,72,8,10,6,TOFD
7,73,1,10,6,TOFD
8,0,8,10,6,TOFD
8,22,1,10,6,TOFD
8,47,1,10,6,TOFD
9,40,10,10,6,TOFD
10,71,10,10,6,TOFD
10,99,10,10,6,TOFD
11,9,10,10,6,TOFD
11,89,10,10,6,TOFD
12,33,10,10,6,TOFD
12,52,10,10,6,TOFD
13,5,10,10,6,TOFD
14,40,10,10,6,TOFD
14,66,10,10,6,TOFD
15,36,10,10,6,TOFD
15,60,10,10,6,TOFD
16,18,10,10,6,TOFD
16,51,10,10,6,TOFD
17,26,10,10,6,TOFD
18,8,10,10,6,TOFD
19,40,10,10,6,TOFD
19,41,8,10,6,TOFD
