"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
7,5,1,1,6,TOFD
7,39,1,1,6,TOFD
8,22,1,1,6,TOFD
9,40,1,1,6,TOFD
10,71,1,1,6,TOFD
10,99,1,1,6,TOFD
11,9,1,1,6,TOFD
11,89,1,1,6,TOFD
12,33,1,1,6,TOFD
12,52,1,1,6,TOFD
13,5,1,1,6,TOFD
14,40,1,1,6,TOFD
14,66,1,1,6,TOFD
15,36,1,1,6,TOFD
15,60,1,1,6,TOFD
16,18,1,1,6,TOFD
16,51,1,1,6,TOFD
17,26,1,1,6,TOFD
18,8,1,1,6,TOFD
19,40,1,1,6,TOFD
20,2,1,1,6,TOFD
21,38,1,1,6,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 9).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
5,82,1,10,9,thinet
9,48,1,10,9,thinet
20,84,1,10,9,thinet
21,101,1,10,9,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 10).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,96,1,9,10,thinet
6,67,2,9,10,thinet
15,87,5,9,10,thinet
16,9,3,9,10,thinet
16,69,8,9,10,thinet
18,74,7,9,10,thinet
18,100,1,9,10,thinet
19,81,7,9,10,thinet
20,108,1,9,10,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 11).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,48,1,9,11,thinet
0,70,5,9,11,thinet
0,76,5,9,11,thinet
0,103,1,9,11,thinet
1,9,7,9,11,thinet
1,46,1,9,11,thinet
5,48,1,9,11,thinet
6,8,4,9,11,thinet
6,53,2,9,11,thinet
7,9,2,9,11,thinet
7,97,1,9,11,thinet
13,0,1,9,11,thinet
13,36,1,9,11,thinet
24,11,1,9,11,thinet
24,37,1,9,11,thinet
26,32,1,9,11,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 12).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
2,39,1,9,12,RandomStructured
3,118,1,9,12,RandomStructured
3,128,1,9,12,RandomStructured
4,17,6,9,12,RandomStructured
4,28,1,9,12,RandomStructured
4,130,1,9,12,RandomStructured
5,73,8,9,12,RandomStructured
5,80,1,9,12,RandomStructured
5,131,1,9,12,RandomStructured
6,68,1,9,12,RandomStructured
6,104,8,9,12,RandomStructured
6,113,1,9,12,RandomStructured
8,21,1,9,12,RandomStructured
8,107,1,9,12,RandomStructured
8,132,8,9,12,RandomStructured
9,5,1,9,12,RandomStructured
10,32,8,9,12,RandomStructured
10,42,1,9,12,RandomStructured
10,89,1,9,12,RandomStructured
11,124,8,9,12,RandomStructured
11,159,1,9,12,RandomStructured
12,72,8,9,12,RandomStructured
12,96,1,9,12,RandomStructured
13,98,1,9,12,RandomStructured
13,113,1,9,12,RandomStructured
14,34,1,9,12,RandomStructured
14,72,1,9,12,RandomStructured
14,171,8,9,12,RandomStructured
14,182,7,9,12,RandomStructured
15,40,1,9,12,RandomStructured
15,118,8,9,12,RandomStructured
16,37,2,9,12,RandomStructured
16,118,1,9,12,RandomStructured
17,151,1,9,12,RandomStructured
18,40,8,9,12,RandomStructured
18,168,1,9,12,RandomStructured
19,149,7,9,12,RandomStructured
20,44,7,9,12,RandomStructured
20,124,6,9,12,RandomStructured
21,161,4,9,12,RandomStructured
22,15,1,9,12,RandomStructured
22,48,2,9,12,RandomStructured
22,173,6,9,12,RandomStructured
23,38,5,9,12,RandomStructured
23,167,1,9,12,RandomStructured
24,135,4,9,12,RandomStructured
24,196,2,9,12,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 13).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
1,19,1,9,13,RandomStructured
1,109,1,9,13,RandomStructured
1,134,5,9,13,RandomStructured
1,173,2,9,13,RandomStructured
2,107,2,9,13,RandomStructured
2,142,1,9,13,RandomStructured
2,149,1,9,13,RandomStructured
2,166,1,9,13,RandomStructured
2,167,1,9,13,RandomStructured
3,38,2,9,13,RandomStructured
3,70,1,9,13,RandomStructured
3,88,1,9,13,RandomStructured
3,97,3,9,13,RandomStructured
3,114,1,9,13,RandomStructured
3,143,3,9,13,RandomStructured
4,27,2,9,13,RandomStructured
4,47,1,9,13,RandomStructured
4,66,2,9,13,RandomStructured
4,117,1,9,13,RandomStructured
4,134,2,9,13,RandomStructured
4,139,2,9,13,RandomStructured
5,69,3,9,13,RandomStructured
5,136,3,9,13,RandomStructured
5,162,1,9,13,RandomStructured
6,10,3,9,13,RandomStructured
6,43,3,9,13,RandomStructured
7,144,6,9,13,RandomStructured
8,53,6,9,13,RandomStructured
9,155,9,9,13,RandomStructured
10,175,9,9,13,RandomStructured
10,178,9,9,13,RandomStructured
11,20,9,9,13,RandomStructured
11,123,9,9,13,RandomStructured
12,64,9,9,13,RandomStructured
13,17,9,9,13,RandomStructured
13,18,9,9,13,RandomStructured
14,99,9,9,13,RandomStructured
14,171,9,9,13,RandomStructured
15,99,9,9,13,RandomStructured
16,8,9,9,13,RandomStructured
16,189,9,9,13,RandomStructured
17,52,9,9,13,RandomStructured
17,98,9,9,13,RandomStructured
18,180,6,9,13,RandomStructured
18,191,9,9,13,RandomStructured
19,36,9,9,13,RandomStructured
20,10,5,9,13,RandomStructured
20,182,3,9,13,RandomStructured
21,117,2,9,13,RandomStructured
21,120,2,9,13,RandomStructured
21,123,5,9,13,RandomStructured
21,154,1,9,13,RandomStructured
21,185,1,9,13,RandomStructured
22,8,4,9,13,RandomStructured
22,80,1,9,13,RandomStructured
22,115,1,9,13,RandomStructured
22,117,6,9,13,RandomStructured
22,132,2,9,13,RandomStructured
23,14,2,9,13,RandomStructured
23,59,2,9,13,RandomStructured
23,97,1,9,13,RandomStructured
24,6,1,9,13,RandomStructured
25,99,1,9,13,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 14).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,14,2,8,14,RandomStructured
0,90,1,8,14,RandomStructured
0,112,4,8,14,RandomStructured
0,173,1,8,14,RandomStructured
1,13,1,8,14,RandomStructured
1,15,1,8,14,RandomStructured
1,110,2,8,14,RandomStructured
1,120,6,8,14,RandomStructured
2,74,2,8,14,RandomStructured
2,76,1,8,14,RandomStructured
2,86,4,8,14,RandomStructured
2,88,2,8,14,RandomStructured
2,163,3,8,14,RandomStructured
2,166,1,8,14,RandomStructured
2,170,1,8,14,RandomStructured
3,28,1,8,14,RandomStructured
3,111,3,8,14,RandomStructured
3,131,4,8,14,RandomStructured
3,144,2,8,14,RandomStructured
6,97,8,8,14,RandomStructured
7,98,7,8,14,RandomStructured
7,100,2,8,14,RandomStructured
9,40,8,8,14,RandomStructured
9,102,8,8,14,RandomStructured
10,7,8,8,14,RandomStructured
11,76,8,8,14,RandomStructured
11,168,8,8,14,RandomStructured
12,185,8,8,14,RandomStructured
13,45,8,8,14,RandomStructured
13,137,8,8,14,RandomStructured
14,150,8,8,14,RandomStructured
15,25,1,8,14,RandomStructured
15,97,7,8,14,RandomStructured
15,113,8,8,14,RandomStructured
16,118,8,8,14,RandomStructured
17,83,7,8,14,RandomStructured
18,188,2,8,14,RandomStructured
19,85,2,8,14,RandomStructured
19,159,5,8,14,RandomStructured
20,120,5,8,14,RandomStructured
20,126,2,8,14,RandomStructured
21,134,2,8,14,RandomStructured
22,68,2,8,14,RandomStructured
22,75,2,8,14,RandomStructured
22,79,4,8,14,RandomStructured
